COD_MARCA	MARCA	MODELO	VERSION	EDICION	PUERTAS	CARROCERIA	TRANSMISION	COMBUSTIBLE	AÑO
34	ALFA ROMEO	145	1.6 IE	IE	3	HA	M	1	1997
34	ALFA ROMEO	145	1.6 L	L	3	HA	M	1	1999
34	ALFA ROMEO	145	1.7 IE 16V	IE	3	HA	M	1	1997
34	ALFA ROMEO	146	1.6 L	L	5	HA	M	1	1997
34	ALFA ROMEO	146	1.6 L	L	5	HA	M	1	1998
34	ALFA ROMEO	146	1.6 L	L	5	HA	M	1	1999
34	ALFA ROMEO	147	1.6 120HP MT 3P	-	3	HA	M	1	2006
34	ALFA ROMEO	147	1.6 120HP MT 3P	-	3	HA	M	1	2007
34	ALFA ROMEO	147	1.6 120HP MT 5P	-	5	HA	M	1	2006
34	ALFA ROMEO	147	1.6 120HP MT 5P	-	5	HA	M	1	2006
34	ALFA ROMEO	147	1.6 120HP MT 5P BLACKLINE	Blackline	5	HA	M	1	2006
34	ALFA ROMEO	147	1.6 120HP MT 5P BLACKLINE	Blackline	5	HA	M	1	2007
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	DISTINCTIVE	3	HA	M	1	2008
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	DISTINCTIVE	3	HA	M	1	2008
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	DISTINCTIVE	3	HA	M	1	2009
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	DISTINCTIVE	3	HA	M	1	2009
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	Distinctive	3	HA	M	1	2009
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	Distinctive	3	HA	M	1	2009
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	Distinctive	3	HA	M	1	2010
34	ALFA ROMEO	147	1.6 3D DISTINCTIVE	Distinctive	3	HA	M	1	2011
34	ALFA ROMEO	147	1.6 5D DISTINCTIVE	DISTINCTIVE	5	HA	M	1	2008
34	ALFA ROMEO	147	1.6 5D DISTINCTIVE	DISTINCTIVE	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D DISTINCTIVE	DISTINCTIVE	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D DISTINCTIVE	Distinctive	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D PROGRESSION	PROGRESSION	5	HA	M	1	2008
34	ALFA ROMEO	147	1.6 5D PROGRESSION	PROGRESSION	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D PROGRESSION	PROGRESSION	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D PROGRESSION	Progression	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D PROGRESSION	Progression	5	HA	M	1	2009
34	ALFA ROMEO	147	1.6 5D PROGRESSION	Progression	5	HA	M	1	2010
34	ALFA ROMEO	147	1.6 5D PROGRESSION	Progression	5	HA	M	1	2011
34	ALFA ROMEO	147	1.6 5P MT DISTINCTIVE	DISTINCTIVE	5	HA	M	1	2007
34	ALFA ROMEO	147	1.6 TS 16V	-	5	HA	M	1	2004
34	ALFA ROMEO	147	1.6 TS 16V	-	5	HA	M	1	2004
34	ALFA ROMEO	147	1.9 JTD 120HP MT	-	5	HA	M	2	2006
34	ALFA ROMEO	147	1.9 JTD 120HP MT	-	5	HA	M	2	2007
34	ALFA ROMEO	147	2.0 150HP SELESPEED 5P	-	5	HA	M	1	2006
34	ALFA ROMEO	147	2.0 150HP SELESPEED 5P	-	5	HA	M	1	2006
34	ALFA ROMEO	147	2.0 16V SELESPEED	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 16V SUNROOF LEATHER	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2008
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2008
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2010
34	ALFA ROMEO	147	2.0 5D SELESPEED	-	5	HA	M	1	2011
34	ALFA ROMEO	147	2.0 5D SELESPEED SRF	-	5	HA	M	1	2008
34	ALFA ROMEO	147	2.0 5D SELESPEED SRF	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED SRF	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 5D SELESPEED SRF	-	5	HA	M	1	2009
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2008
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2009
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2009
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2009
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2009
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2010
34	ALFA ROMEO	147	2.0 SELESPEED 3D	-	3	HA	M	1	2011
34	ALFA ROMEO	147	2.0 SELESPEED 5P TECHO	-	5	HA	M	1	2007
34	ALFA ROMEO	147	2.0 TS	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 TS	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED SRF	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED SRF	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SELESPEED SRF	-	5	HA	M	1	2005
34	ALFA ROMEO	147	2.0 TS SELESPEED SRF LHR	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 TS SELESPEED SRF LHR	-	5	HA	M	1	2005
34	ALFA ROMEO	147	2.0 TS SUNROOF	-	5	HA	M	1	2003
34	ALFA ROMEO	147	2.0 TS SUNROOF	-	5	HA	M	1	2004
34	ALFA ROMEO	147	2.0 TS SUNROOF	-	5	HA	M	1	2004
34	ALFA ROMEO	147	TI 1.6 120HP MT 3P	TI	3	HA	M	1	2006
34	ALFA ROMEO	147	TI 1.6 120HP MT 3P	TI	3	HA	M	1	2006
34	ALFA ROMEO	147	TI 1.6 120HP MT 3P	TI	3	HA	M	1	2007
34	ALFA ROMEO	147	TI 2.0 150HP SELESPEED 3P	TI	3	HA	M	1	2006
34	ALFA ROMEO	147	TI 2.0 150HP SELESPEED 3P	TI	3	HA	M	1	2007
34	ALFA ROMEO	155	2.0 TS	TS	4	SA	M	1	1997
34	ALFA ROMEO	155	2.0 TS	TS	4	SA	M	1	1999
34	ALFA ROMEO	156	2.0 16V	-	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 16V	-	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 16V	-	4	SA	M	1	2005
34	ALFA ROMEO	156	2.0 16V	-	5	ES	M	1	2004
34	ALFA ROMEO	156	2.0 16V	-	5	ES	M	1	2004
34	ALFA ROMEO	156	2.0 16V	-	5	ES	M	1	2005
34	ALFA ROMEO	156	2.0 16V SELESPEED	-	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 16V SELESPEED	-	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 16V SELESPEED	-	4	SA	M	1	2005
34	ALFA ROMEO	156	2.0 16V SELESPEED	-	5	ES	M	1	2004
34	ALFA ROMEO	156	2.0 16V SELESPEED	-	5	ES	M	1	2005
34	ALFA ROMEO	156	2.0 16V SELESPEED	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.0 16V SELESPEED	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 16V SELESPEED	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 T.SPARK	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.0 T.SPARK	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 T.SPARK	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 T.SPARK LEATHER	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.0 T.SPARK LEATHER	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 T.SPARK LEATHER	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.0 TWIN SPARK	-	4	SA	M	1	2000
34	ALFA ROMEO	156	2.0 TWIN SPARK	-	4	SA	M	1	2000
34	ALFA ROMEO	156	2.0 TWIN SPARK	-	4	SA	M	1	2000
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2000
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2001
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2001
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2002
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2002
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.0 TWIN SPARK	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.5 V6 24V	-	4	SA	M	1	2004
34	ALFA ROMEO	156	2.5 V6 24V	-	4	SA	M	1	2005
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2002
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2002
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2003
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.5 V6 24V	TS	4	SA	M	1	2004
34	ALFA ROMEO	156	2.5 V6 24V Q.SYSTEM	TS	4	SA	M	1	2004
34	ALFA ROMEO	159	1.7 TBI TI	-	4	SA	M	1	2011
34	ALFA ROMEO	159	1.8 TBI TI	-	4	SA	M	1	2012
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2007
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2008
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2009
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2009
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2009
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2009
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2010
34	ALFA ROMEO	159	1.9 JTD AUTO	-	4	SA	A	2	2011
34	ALFA ROMEO	159	2.0 SPORTWAGON MT	-	5	ES	M	1	2006
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2007
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2008
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2010
34	ALFA ROMEO	159	2.2	-	4	SA	M	1	2011
34	ALFA ROMEO	159	2.2 JTS 185HP	-	4	SA	M	1	2006
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2007
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2008
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2010
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2011
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2011
34	ALFA ROMEO	159	2.2 SELESPEED	-	4	SA	M	1	2012
34	ALFA ROMEO	159	2.2 TI SELESPEED	TI	4	SA	M	1	2007
34	ALFA ROMEO	159	2.2 TI SELESPEED	TI	4	SA	M	1	2008
34	ALFA ROMEO	159	2.2 TI SELESPEED	TI	4	SA	M	1	2009
34	ALFA ROMEO	159	2.2 TI SELESPEED	TI	4	SA	M	1	2009
34	ALFA ROMEO	159	3.2 JTS V6 260HP Q4	-	4	SA	M	1	2006
34	ALFA ROMEO	159	3.2 Q4 4X4 AUTO	-	4	SA	A	1	2007
34	ALFA ROMEO	159	3.2 Q4 4X4 AUTO	-	4	SA	A	1	2008
34	ALFA ROMEO	159	3.2 Q4 4X4 MT	-	4	SA	M	1	2007
34	ALFA ROMEO	159	3.2 TI SELESPEED	TI	4	SA	M	1	2008
34	ALFA ROMEO	159	3.2 TI SELESPEED	TI	4	SA	M	1	2009
34	ALFA ROMEO	159	3.2 TI SELESPEED	TI	4	SA	M	1	2009
34	ALFA ROMEO	164	3.0 24V SUPER	SUPER	4	SA	M	1	1998
34	ALFA ROMEO	164	3.0 24V SUPER AUTO	SUPER AUTO	4	SA	A	1	1998
34	ALFA ROMEO	164	V6 24V	V6 24V	4	SA	A	1	1997
34	ALFA ROMEO	164	V6 24V	V6 24V	4	SA	M	1	1997
34	ALFA ROMEO	166	3.0 SPORTRONIC	-	4	SA	A	1	2000
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2001
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2001
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2002
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2002
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2003
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2004
34	ALFA ROMEO	166	3.0 V6 24V SPORTRONIC	-	4	SA	A	1	2004
34	ALFA ROMEO	BRERA	1.8 TBI TI	-	3	CO	M	1	2011
34	ALFA ROMEO	BRERA	1.8 TBI TI	-	3	CO	M	1	2012
34	ALFA ROMEO	BRERA	1.8 TBI TI	-	3	CO	M	1	2012
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2007
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2008
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2008
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2010
34	ALFA ROMEO	BRERA	2.2	-	3	CO	M	1	2011
34	ALFA ROMEO	BRERA	2.2 JTS 185HP MT SKYWINDOW	Skywindow	3	CO	M	1	2006
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2008
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2009
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2010
34	ALFA ROMEO	BRERA	3.2	-	3	CO	M	1	2011
34	ALFA ROMEO	BRERA	3.2 JTS V6 260HP Q4 MT SKYWINDOW	Skywindow	3	CO	M	1	2006
34	ALFA ROMEO	BRERA	SKY WINDOW 2.2 JTS MT	Skywindow	3	CO	M	1	2007
34	ALFA ROMEO	BRERA	SKY WINDOW 3.2 JTS MT	Skywindow	3	CO	M	1	2007
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2012
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2013
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2014
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2014
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2014
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2014
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2015
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2015
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP DISTINCTIVE	Distinctive	5	HA	M	1	2015
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP PROGRESSION	Progression	5	HA	M	1	2012
34	ALFA ROMEO	GIULIETTA	1.4 T 120BHP PROGRESSION	Progression	5	HA	M	1	2013
